ID	IDS-ID	CONCEPT	DOCULECT	VALUE	FORM	WORKFLOW-TOKENS	WORKFLOW-COGIDS	WORKFLOW-CROSSIDS	TOKENS	COGIDS	CROSSIDS	ROOTIDS	MORPHEMES	
4	1-840-272-1	ashes	Araona	timo	timo	t i m o	21	21	t i m o	21	21	21	ashes	
19	16-720-272-1	bad	Araona	-isi	isi	i s i	180	180	i s i	180	180	180	bad	
21	16-720-272-5	bad	Araona	masawe	masawe	m a s a w e	182	182	m a s a + w e	177 196	177 196	177 196	bad-2 _we-suffix	
20	16-720-272-3	bad	Araona	šili	šili	ʃ i l i	181	181	ʃ i l i	181	181	181	bad-3	
11	14-410-272-1	day	Araona	c̷eiɲe	c̷eiɲe	ts e i ɲ e	123	123	ts e i ɲ e	123	123	123	day	
26	1-213-272-1	dust	Araona	poc̷ac̷a-i	poc̷ac̷a-i	p o ts a ts a + i	229 236	229 236	p o + ts a + ts a + i	229 327 0 236	229 72 0 236	229 72 0 236	dust-10 small _small _i-suffix	
25	1-212-272-1	earth=ground, soil	Araona	mezizo	mezizo	m e z i z o	222	222	m e + z i + z o	221 5 44	221 5 44	221 5 44	earth earth-2 earth-3	
22	13-140-272-1	every, all	Araona	babaowe	babaowe	b a b a o w e	197	197	b a b a o + w e	197 304	197 196	197 196	every _we-suffix	
15	12-440-272-3	far (adv)	Araona	aokʷe	aokʷe	a o kʷ e	145	145	a + o kʷ e	303 145	301 145	301 145	_a-prefix far	
14	12-440-272-1	far (adv)	Araona	okʷeda	okʷeda	o kʷ e d a	144	144	o kʷ e + d a	145 149	145 59	145 59	far _da-suffix	
1	1-810-272-1	fire	Araona	kʷa-ti	kʷa-ti	kʷ a + t i	307 1	2 1	kʷ a + t i	307 1	2 1	2 1	fire fire-2	
2	1-820-272-1	flame (noun)	Araona	aweo	aweo	a w e o	6	6	a w e o	6	6	6	flame	
16	16-710-272-1	good	Araona	ahai	ahai	a h ai	175	175	a + h ai	301 168	301 168	301 168	_a-prefix good	
17	16-710-272-3	good	Araona	da	da	d a	166	155	d a	166	166	166	good-2	
18	16-710-272-5	good	Araona	hai-ǰa	hai-ǰa	h ai + j a	168 173	168 173	h ai + j a	168 173	168 31	168 31	good _ja-suffix	
7	12-550-272-1	large, big	Araona	haliǰa	haliǰa	h a l i j a	44	44	h a l i + j a	42 31	42 31	42 31	large _ja-suffix	
12	12-430-272-1	near (adv)	Araona	hakʷepati	hakʷepati	h a kʷ e p a t i	126	126	h a kʷ e p a t i	126	126	126	near	
13	12-430-272-3	near (adv)	Araona	c̷awa	c̷awa	ts a w a	127	127	ts a + w a	127 321	72 321	72 321	small _wa	
23	13-10-272-1	one	Araona	peada	peada	p e a d a	212	212	p e a + d a	212 213	212 59	212 59	one _da-suffix	
24	13-10-272-3	one	Araona	peada-we	peada-we	p e a d a + w e	212 213	212 213	p e a + d a + w e	212 213 211	212 59 196	212 59 196	one _da-suffix _we-suffix	
5	1-510-272-1	sky	Araona	baepa	baepa	b a e p a	31	31	b a e + p a	35 33	35 33	35 33	sky _pa-suffix	
8	12-560-272-1	small, little	Araona	lopo	lopo	l o p o	66	66	l o p o	66	66	66	small-3	
3	1-830-272-1	smoke (noun)	Araona	hodo	hodo	h o d o	15	15	h o d o	15	15	15	smoke	
6	1-520-272-1	sun	Araona	zeti	zeti	z e t i	39	39	z e t i	39	39	39	sun	
9	12-630-272-1	thick (in dimension)	Araona	apamotihi	apamotihi	a p a m o t i h i	82	82	a + p a m o + t i h i	315 92 144	301 92 144	301 92 144	_a-prefix thick thick-2	
10	12-650-272-1	thin (in dimension)	Araona	lasa-lasa	lasa-lasa	l a s a + l a s a	95 0	95 0	l a s a + l a s a	95 0	95 0	95 0	thin _thin	
33	1-840-277-1	ashes	Cashibo	či-mapo	či-mapo	tʃ i + m a p o	22 23	1 23	tʃ i + m a p o	22 23	1 23	1 23	fire-5 ashes-2	
44	16-720-277-1	bad	Cashibo	ʔaisama	ʔaisama	ʔ ai s a m a	183	183	ʔ ai s a + m a	183 158	183 25	183 25	good-4 _not	
41	14-410-277-1	day	Cashibo	nɨtɨ	nɨtɨ	n ɨ t ɨ	118	118	n ɨ t ɨ	118	118	118	day-2	
28	1-213-277-1	dust	Cashibo	mee poto	mee poto	m eː + p o t o	226 224	221 224	m eː + p o t o	226 224	221 224	221 224	earth earth-4	
27	1-212-277-1	earth=ground, soil	Cashibo	mee	mee	m eː	221	221	m eː	221	221	221	earth	
46	13-140-277-1	every, all	Cashibo	kamaβi	kamaβi	k a m a β i	198	198	k a m a β i	198	198	198	every-2	
42	12-440-277-1	far (adv)	Cashibo	ʔura	ʔura	ʔ u r a	146	146	ʔ u r a	146	146	146	far-2	
29	1-810-277-1	fire	Cashibo	c̷ii	c̷ii	ts iː	1	1	ts iː	1	1	1	fire-2	
30	1-820-277-1	flame (noun)	Cashibo	c̷ii rɨ'ɨkirukɨ	c̷ii rɨ'ɨkirukɨ	ts iː + r ɨ ɨ k i r u k ɨ	7 8	1 8	ts iː + r ɨ ɨ k i r u k ɨ	7 8	1 8	1 8	fire-2 flame-2	
43	16-710-277-1	good	Cashibo	o'pi	o'pi	o p i	165	165	o p i	165	165	165	day-7	
36	12-550-277-1	large, big	Cashibo	čaa	čaa	tʃ aː	54	54	tʃ aː	54	54	54	large-3	
37	12-550-277-3	large, big	Cashibo	ʔɨo	ʔɨo	ʔ ɨ o	55	55	ʔ ɨ o	55	55	55	large-4	
45	13-10-277-1	one	Cashibo	a'čuuši	a'čuuši	a tʃ uː ʃ i	214	214	a tʃ uː ʃ i	214	214	214	one-2	
34	1-510-277-1	sky	Cashibo	na'i	na'i	n a i	29	29	n a i	29	29	29	sky-2	
38	12-560-277-1	small, little	Cashibo	ču'kuma	ču'kuma	tʃ u k u m a	67	67	tʃ u k u + m a	67 62	67 25	67 25	large-16 _not	
32	1-830-277-3	smoke (noun)	Cashibo	ko'ĩ	ko'ĩ	k o iː	17	17	k o iː	17	17	17	smoke-2	
31	1-830-277-1	smoke (noun)	Cashibo	c̷ii 'kʷĩ	c̷ii 'kʷĩ	ts iː + kʷ iː	16 310	1 4	ts iː + kʷ iː	16 312	1 4	1 4	fire-2 fire-4	
35	1-520-277-1	sun	Cashibo	βari	βari	β a r i	36	36	β a r i	36	36	36	sun-2	
39	12-630-277-1	thick (in dimension)	Cashibo	kɨṣ̌'to	kɨṣ̌'to	k ɨ ʂ t o	83	83	k ɨ ʂ t o	83	83	83	thick-3	
40	12-650-277-1	thin (in dimension)	Cashibo	βɨ̃'c̷ĩ	βɨ̃'c̷ĩ	β ɨ̃ ts iː	114	114	β ɨ̃ ts iː	114	114	114	thin-2	
50	1-840-278-1	ashes	Catuquina	ṣ̌iʔi mapo	ṣ̌iʔi mapo	ʂ i ʔ i + m a p o	22 23	1 23	ʂ i ʔ i + m a p o	22 23	1 23	1 23	fire-2 ashes-2	
61	16-720-278-1	bad	Catuquina	ičṣ̌a-pa	ičṣ̌a-pa	i tʃ ʂ a + p a	193 184	193 58	i tʃ ʂ a + p a	193 184	193 33	193 33	bad-5 _pa-suffix	
57	14-410-278-1	day	Catuquina	βari	βari	β a r i	116	36	β a r i	116	36	36	sun-2	
