ID	DOCULECT	CONCEPT	VALUE	FORM	WORKFLOWTOKENS	WORKFLOWCOGIDS	WORKFLOWCROSSIDS	TOKENS	COGIDS	CROSSIDS	ROOTIDS	MORPHEMES
654	Awa	skin	aja	aja	a j a	81	73	a j a	81	73	73	skin
563	Awa	spear	aks ti̵ kwiʧati̵t	aks ti̵ kwiʧati̵t	a k s + t ɨ + k w i tʃ a t ɨ t	128 129 130	128 2 130	a k s + t ɨ + k w i tʃ a t ɨ t	128 129 130	128 2 130	128 2 130	spear tree spear-2
468	Awa	heart	kaixsu	kaixsu	k a i x s u	5	5	k a i x + s u	6 5	6 5	6 5	heart heart-2
469	Awa	heart	kaixʧu	kaixʧu	k a i x tʃ u	6	6	k a i x + tʃ u	6 92	6 92	6 92	heart heart-3
558	Awa	left	kwijamal	kwijamal	k w i j a + m a l	64 65	64 40	k w i j a + m a l	64 65	64 40	64 40	left direction
678	Awa	root	muxti̵t	muxti̵t	m u x t ɨ t	33	33	m u x t ɨ t	33	33	33	root
471	Awa	correct	nil	nil	n i l	13	13	n i l	13	13	13	straight
679	Awa	straight	nil	nil	n i l	27	13	n i l	27	13	13	straight
495	Awa	right	numal	numal	n u + m a l	39 40	39 40	n u + m a l	39 40	39 40	39 40	right direction
526	Awa	fruit	pippa	pippa	p i p p a	139	3	p i p p a	139	3	3	tree-5
699	Awa	seed	pippa	pippa	p i p p a	150	3	p i p p a	150	3	3	tree-5
695	Awa	sap	puzpi	puzpi	p u z p i	144	144	p u z p i	144	144	144	sap
497	Awa	tooth	sula	sula	s u l a	54	54	s u l a	54	54	54	tooth
473	Awa	bark	tamaxatu	tamaxatu	t a m a x a t u	71	71	t a m a x a t u	71	71	71	bark
759	Awa	tree	ti̵	ti̵	t ɨ	2	2	t ɨ	2	2	2	tree
637	Awa	stick	ti̵	ti̵	t ɨ	120	2	t ɨ	120	2	2	tree
474	Awa	bark	ti̵ aja	ti̵ aja	t ɨ + a j a	72 73	72 73	t ɨ + a j a	72 73	2 73	2 73	tree skin
641	Awa	chest	ʧikuza	ʧikuza	tʃ i k u z a	20	20	tʃ i k u z a	20	20	20	chest
572	Awa	firewood	ʧi̵	ʧi̵	tʃ ɨ	122	122	tʃ ɨ	122	122	122	firewood
737	Awa	fingernail	ʧkwil	ʧkwil	tʃ k w i l	86	86	tʃ k w i l	86	86	86	nail
736	Awa	fingernail/claw	ʧkwil	ʧkwil	tʃ k w i l	93	86	tʃ k w i l	93	86	86	nail
582	Awa	hand	ʧti̵	ʧti̵	tʃ t ɨ	100	100	tʃ t ɨ	100	100	100	hand
